tweet_id,favorites,retweets,timestamp
729823566028484608,3632,1117,2016-05-10 00:01:12+00:00
729463711119904772,5293,2079,2016-05-09 00:11:16+00:00
729113531270991872,1733,287,2016-05-08 00:59:46+00:00
728986383096946689,2875,731,2016-05-07 16:34:32+00:00
728760639972315136,4264,1532,2016-05-07 01:37:30+00:00
728751179681943552,2523,614,2016-05-07 00:59:55+00:00
728653952833728512,3041,942,2016-05-06 18:33:34+00:00
728409960103686147,4488,1816,2016-05-06 02:24:02+00:00
728387165835677696,3410,874,2016-05-06 00:53:27+00:00
728046963732717569,3911,1075,2016-05-05 02:21:37+00:00
728035342121635841,4135,1500,2016-05-05 01:35:26+00:00
728015554473250816,3771,986,2016-05-05 00:16:48+00:00
727685679342333952,2710,570,2016-05-04 02:26:00+00:00
727644517743104000,5356,1582,2016-05-03 23:42:26+00:00
727524757080539137,4092,1076,2016-05-03 15:46:33+00:00
727314416056803329,3054,671,2016-05-03 01:50:44+00:00
727286334147182592,2813,742,2016-05-02 23:59:09+00:00
727175381690781696,3579,1235,2016-05-02 16:38:15+00:00
727155742655025152,3310,1194,2016-05-02 15:20:13+00:00
726935089318363137,6262,2192,2016-05-02 00:43:25+00:00
726887082820554753,3516,1360,2016-05-01 21:32:40+00:00
726828223124897792,3290,910,2016-05-01 17:38:46+00:00
726224900189511680,4066,1040,2016-04-30 01:41:23+00:00
725842289046749185,6503,2404,2016-04-29 00:21:01+00:00
725786712245440512,3825,1237,2016-04-28 20:40:11+00:00
725729321944506368,4772,1600,2016-04-28 16:52:08+00:00
725458796924002305,1297,553,2016-04-27 22:57:10+00:00
724983749226668032,3424,1159,2016-04-26 15:29:30+00:00
724771698126512129,2138,565,2016-04-26 01:26:53+00:00
724405726123311104,4844,1505,2016-04-25 01:12:38+00:00
724049859469295616,3963,1612,2016-04-24 01:38:33+00:00
724046343203856385,2450,511,2016-04-24 01:24:35+00:00
724004602748780546,3818,1386,2016-04-23 22:38:43+00:00
723912936180330496,3571,1122,2016-04-23 16:34:28+00:00
723688335806480385,7000,2633,2016-04-23 01:41:59+00:00
723673163800948736,2779,812,2016-04-23 00:41:42+00:00
723179728551723008,4841,1680,2016-04-21 16:00:57+00:00
722974582966214656,3743,1425,2016-04-21 02:25:47+00:00
722613351520608256,4557,1488,2016-04-20 02:30:23+00:00
721503162398597120,4199,1634,2016-04-17 00:58:53+00:00
721001180231503872,2331,549,2016-04-15 15:44:11+00:00
720785406564900865,2848,697,2016-04-15 01:26:47+00:00
720775346191278080,2246,562,2016-04-15 00:46:48+00:00
720415127506415616,3775,1350,2016-04-14 00:55:25+00:00
720389942216527872,5834,2251,2016-04-13 23:15:21+00:00
720340705894408192,2613,871,2016-04-13 19:59:42+00:00
720059472081784833,3538,1013,2016-04-13 01:22:10+00:00
720043174954147842,4553,1811,2016-04-13 00:17:25+00:00
719991154352222208,4463,1585,2016-04-12 20:50:42+00:00
719704490224398336,4163,1289,2016-04-12 01:51:36+00:00
719551379208073216,4632,1704,2016-04-11 15:43:12+00:00
719367763014393856,2591,685,2016-04-11 03:33:34+00:00
719339463458033665,4068,1113,2016-04-11 01:41:07+00:00
719332531645071360,3174,850,2016-04-11 01:13:34+00:00
718971898235854848,3188,979,2016-04-10 01:20:33+00:00
718939241951195136,4783,1574,2016-04-09 23:10:47+00:00
718631497683582976,17251,7181,2016-04-09 02:47:55+00:00
718613305783398402,2246,425,2016-04-09 01:35:37+00:00
718540630683709445,2239,918,2016-04-08 20:46:50+00:00
718460005985447936,2494,473,2016-04-08 15:26:28+00:00
718454725339934721,4490,1369,2016-04-08 15:05:29+00:00
718246886998687744,1751,446,2016-04-08 01:19:36+00:00
718234618122661888,3548,910,2016-04-08 00:30:51+00:00
717841801130979328,2268,541,2016-04-06 22:29:56+00:00
717790033953034240,2627,981,2016-04-06 19:04:14+00:00
717537687239008257,5287,1652,2016-04-06 02:21:30+00:00
717428917016076293,1472,403,2016-04-05 19:09:17+00:00
717421804990701568,2874,752,2016-04-05 18:41:02+00:00
717047459982213120,5774,1729,2016-04-04 17:53:31+00:00
717009362452090881,2967,865,2016-04-04 15:22:08+00:00
716802964044845056,3941,1044,2016-04-04 01:41:58+00:00
716791146589110272,7712,1454,2016-04-04 00:55:01+00:00
716730379797970944,1132,394,2016-04-03 20:53:33+00:00
716447146686459905,11925,5274,2016-04-03 02:08:05+00:00
716439118184652801,2185,189,2016-04-03 01:36:11+00:00
716285507865542656,2542,962,2016-04-02 15:25:47+00:00
716080869887381504,6215,1698,2016-04-02 01:52:38+00:00
715928423106027520,2918,790,2016-04-01 15:46:52+00:00
715758151270801409,3396,1278,2016-04-01 04:30:16+00:00
715733265223708672,4253,1517,2016-04-01 02:51:22+00:00
715704790270025728,2551,509,2016-04-01 00:58:13+00:00
715696743237730304,3601,1158,2016-04-01 00:26:15+00:00
715680795826982913,3941,1436,2016-03-31 23:22:53+00:00
715360349751484417,5013,1405,2016-03-31 02:09:32+00:00
715342466308784130,2781,619,2016-03-31 00:58:29+00:00
715220193576927233,2204,581,2016-03-30 16:52:36+00:00
715200624753819648,4731,1677,2016-03-30 15:34:51+00:00
715009755312439296,3803,1100,2016-03-30 02:56:24+00:00
714982300363173890,3410,928,2016-03-30 01:07:18+00:00
714962719905021952,6710,3820,2016-03-29 23:49:30+00:00
714957620017307648,3796,1273,2016-03-29 23:29:14+00:00
714631576617938945,3004,891,2016-03-29 01:53:39+00:00
714606013974974464,3329,823,2016-03-29 00:12:05+00:00
714485234495041536,2440,1005,2016-03-28 16:12:09+00:00
714258258790387713,2807,665,2016-03-28 01:10:13+00:00
714251586676113411,3015,757,2016-03-28 00:43:43+00:00
714214115368108032,2103,796,2016-03-27 22:14:49+00:00
714141408463036416,3991,1272,2016-03-27 17:25:54+00:00
713919462244790272,3029,719,2016-03-27 02:43:58+00:00
713909862279876608,1740,481,2016-03-27 02:05:49+00:00
713900603437621249,2603,655,2016-03-27 01:29:02+00:00
713761197720473600,4432,1232,2016-03-26 16:15:05+00:00
713411074226274305,4075,1178,2016-03-25 17:03:49+00:00
713177543487135744,6614,2583,2016-03-25 01:35:51+00:00
713175907180089344,4060,1324,2016-03-25 01:29:21+00:00
712809025985978368,17459,6045,2016-03-24 01:11:29+00:00
712717840512598017,11269,4490,2016-03-23 19:09:09+00:00
712668654853337088,3811,1096,2016-03-23 15:53:42+00:00
712438159032893441,4888,1407,2016-03-23 00:37:48+00:00
712309440758808576,221,24,2016-03-22 16:06:19+00:00
712097430750289920,3444,928,2016-03-22 02:03:52+00:00
712092745624633345,2692,806,2016-03-22 01:45:15+00:00
712085617388212225,2999,433,2016-03-22 01:16:55+00:00
712065007010385924,2064,564,2016-03-21 23:55:01+00:00
711998809858043904,0,120,2016-03-21 19:31:59+00:00
711968124745228288,7384,2080,2016-03-21 17:30:03+00:00
711743778164514816,2607,904,2016-03-21 02:38:34+00:00
711732680602345472,8038,3673,2016-03-21 01:54:29+00:00
711694788429553666,30123,16530,2016-03-20 23:23:54+00:00
711652651650457602,3527,819,2016-03-20 20:36:28+00:00
711363825979756544,3306,1012,2016-03-20 01:28:47+00:00
711306686208872448,3038,674,2016-03-19 21:41:44+00:00
711008018775851008,2732,555,2016-03-19 01:54:56+00:00
710997087345876993,4192,1255,2016-03-19 01:11:29+00:00
710844581445812225,2345,608,2016-03-18 15:05:29+00:00
710833117892898816,2457,474,2016-03-18 14:19:56+00:00
710658690886586372,2128,512,2016-03-18 02:46:49+00:00
710609963652087808,4409,2148,2016-03-17 23:33:12+00:00
710588934686908417,4160,1689,2016-03-17 22:09:38+00:00
710296729921429505,2186,666,2016-03-17 02:48:31+00:00
710283270106132480,1983,476,2016-03-17 01:55:02+00:00
710272297844797440,4129,1135,2016-03-17 01:11:26+00:00
710269109699739648,2189,1008,2016-03-17 00:58:46+00:00
710153181850935296,2672,806,2016-03-16 17:18:07+00:00
710140971284037632,2511,798,2016-03-16 16:29:35+00:00
710117014656950272,5004,1776,2016-03-16 14:54:24+00:00
709918798883774466,3217,990,2016-03-16 01:46:45+00:00
709901256215666688,603,92,2016-03-16 00:37:03+00:00
709852847387627521,3218,1081,2016-03-15 21:24:41+00:00
709566166965075968,3242,1068,2016-03-15 02:25:31+00:00
709556954897764353,3009,972,2016-03-15 01:48:55+00:00
709519240576036864,1380,219,2016-03-14 23:19:03+00:00
709449600415961088,2017,516,2016-03-14 18:42:20+00:00
709409458133323776,2417,615,2016-03-14 16:02:49+00:00
709225125749587968,2195,519,2016-03-14 03:50:21+00:00
709207347839836162,11355,5156,2016-03-14 02:39:42+00:00
709198395643068416,2259,587,2016-03-14 02:04:08+00:00
709179584944730112,1847,605,2016-03-14 00:49:23+00:00
709158332880297985,1870,362,2016-03-13 23:24:56+00:00
709042156699303936,4309,1472,2016-03-13 15:43:18+00:00
